Date,Open_Interest,Prod_Merch_Long,Prod_Merch_Short,Swaps_Long,Swaps_Short,Mana_M_Long,Mana_M_Short
2014-05-13,2197744,303108,372647,134109,487309,334563,23368
2014-05-20,2068089,272854,348616,125489,494453,347673,23680
2014-05-27,2141184,260867,337047,120008,507576,368660,20591
2014-06-03,2170996,281970,362595,116979,494240,364685,21680
2014-06-10,2216023,301909,383801,108666,492730,361774,20094
2014-06-17,2278309,298115,388524,101940,519979,378701,22365
2014-06-24,2317823,305602,385466,98934,531923,367505,22222
2014-07-01,2355907,321480,392161,103815,532806,355572,25424
2014-07-08,2325143,317177,378442,107352,520559,337027,32661
2014-07-15,2326114,338580,379692,114253,506873,304462,45203
2014-07-22,2198521,301614,338704,114965,500762,307739,29623
2014-07-29,2187621,280288,316096,114724,497326,308557,31816
2014-08-05,2197121,286563,314903,123663,484949,286065,49684
2014-08-12,2197780,286750,302316,120832,469553,269658,50844
2014-08-19,2096375,260697,278309,116051,459674,258246,69657
2014-08-26,2089958,257155,281533,120115,445056,255015,65262
2014-09-02,2115270,249640,273400,128441,437346,252909,80552
2014-09-09,2131583,253303,278432,129609,431824,260764,74152
2014-09-16,2111963,237220,259619,124311,419593,270924,67276
2014-09-23,2036725,233454,269703,120178,409813,263281,69316
2014-09-30,2070814,235666,274506,120194,408679,270441,68578
2014-10-07,2146776,254787,304721,122663,400995,266241,74033
2014-10-14,2364875,294729,335831,124217,396912,263321,86650
2014-10-21,2179253,278367,323076,151390,409793,255835,69061
2014-10-28,2246219,295557,343201,147783,398898,249841,67355
2014-11-04,2373870,295507,349748,142782,393292,248995,81089
2014-11-11,2390808,300038,355961,140562,393533,251438,68948
2014-11-18,2074609,261287,310424,130060,381277,248217,73166
2014-11-25,2052379,247638,297791,125691,366883,246860,84851
2014-12-02,2211505,261153,319446,118493,361681,256667,72293
2014-12-09,2285895,269616,332060,114301,359326,257392,66124
2014-12-16,2267373,248832,322852,118210,381158,274740,57017
2014-12-23,2285073,245876,323085,115771,369549,260774,53835
2014-12-30,2343842,245753,329173,123601,362982,259613,60225
2015-01-06,2500091,263099,364096,121044,351574,273404,74009
2015-01-13,2687656,288648,413168,123886,340647,311973,87941
2015-01-20,2497521,280731,412874,135521,336907,310907,94203
2015-01-27,2610239,312483,455406,143407,340847,321088,104763
2015-02-03,2727047,321662,455949,167545,360929,313968,106041
2015-02-10,2746179,318313,444125,167091,381158,301728,98032
2015-02-17,2491479,298801,428910,177162,371913,309624,100466
2015-02-24,2532558,318407,449045,182976,368954,320255,117646
2015-03-03,2544390,293979,426916,203569,374608,302317,138007
2015-03-10,2557030,261348,390580,203790,374559,303048,142770
2015-03-17,2617684,259889,397740,222868,371538,318639,178365
